,Date,Immigrants
182,2005-01,18812.666666666668
183,2005-02,18812.666666666668
184,2005-03,18812.666666666668
185,2005-04,24823.666666666668
186,2005-05,24823.666666666668
187,2005-06,24823.666666666668
188,2005-07,25315.0
189,2005-08,25315.0
190,2005-09,25315.0
191,2005-10,18462.0
192,2005-11,18462.0
193,2005-12,18462.0
194,2006-01,18378.0
195,2006-02,18378.0
196,2006-03,18378.0
197,2006-04,22636.333333333332
198,2006-05,22636.333333333332
199,2006-06,22636.333333333332
200,2006-07,23452.0
201,2006-08,23452.0
202,2006-09,23452.0
203,2006-10,19415.0
204,2006-11,19415.0
205,2006-12,19415.0
206,2007-01,15958.333333333334
207,2007-02,15958.333333333334
208,2007-03,15958.333333333334
209,2007-04,20549.666666666668
210,2007-05,20549.666666666668
211,2007-06,20549.666666666668
212,2007-07,23885.666666666668
213,2007-08,23885.666666666668
214,2007-09,23885.666666666668
215,2007-10,18524.333333333332
216,2007-11,18524.333333333332
217,2007-12,18524.333333333332
218,2008-01,17715.0
219,2008-02,17715.0
220,2008-03,17715.0
221,2008-04,23082.333333333332
222,2008-05,23082.333333333332
223,2008-06,23082.333333333332
224,2008-07,23770.666666666668
225,2008-08,23770.666666666668
226,2008-09,23770.666666666668
227,2008-10,17847.666666666668
228,2008-11,17847.666666666668
229,2008-12,17847.666666666668
230,2009-01,16927.666666666668
231,2009-02,16927.666666666668
232,2009-03,16927.666666666668
233,2009-04,23217.0
234,2009-05,23217.0
235,2009-06,23217.0
236,2009-07,25130.0
237,2009-08,25130.0
238,2009-09,25130.0
239,2009-10,18784.333333333332
240,2009-11,18784.333333333332
241,2009-12,18784.333333333332
242,2010-01,19347.0
243,2010-02,19347.0
244,2010-03,19347.0
245,2010-04,26932.333333333332
246,2010-05,26932.333333333332
247,2010-06,26932.333333333332
248,2010-07,28097.333333333332
249,2010-08,28097.333333333332
250,2010-09,28097.333333333332
251,2010-10,19184.0
252,2010-11,19184.0
253,2010-12,19184.0
254,2011-01,16523.333333333332
255,2011-02,16523.333333333332
256,2011-03,16523.333333333332
257,2011-04,22565.333333333332
258,2011-05,22565.333333333332
259,2011-06,22565.333333333332
260,2011-07,23954.666666666668
261,2011-08,23954.666666666668
262,2011-09,23954.666666666668
263,2011-10,19867.666666666668
264,2011-11,19867.666666666668
265,2011-12,19867.666666666668
266,2012-01,18521.0
267,2012-02,18521.0
268,2012-03,18521.0
269,2012-04,24335.333333333332
270,2012-05,24335.333333333332
271,2012-06,24335.333333333332
272,2012-07,22300.666666666668
273,2012-08,22300.666666666668
274,2012-09,22300.666666666668
275,2012-10,20779.333333333332
276,2012-11,20779.333333333332
277,2012-12,20779.333333333332
278,2013-01,19417.666666666668
279,2013-02,19417.666666666668
280,2013-03,19417.666666666668
281,2013-04,25202.666666666668
282,2013-05,25202.666666666668
283,2013-06,25202.666666666668
284,2013-07,21802.0
285,2013-08,21802.0
286,2013-09,21802.0
287,2013-10,19923.666666666668
288,2013-11,19923.666666666668
289,2013-12,19923.666666666668
290,2014-01,21486.0
291,2014-02,21486.0
292,2014-03,21486.0
293,2014-04,26096.333333333332
294,2014-05,26096.333333333332
295,2014-06,26096.333333333332
296,2014-07,21847.333333333332
297,2014-08,21847.333333333332
298,2014-09,21847.333333333332
299,2014-10,17335.666666666668
300,2014-11,17335.666666666668
301,2014-12,17335.666666666668
302,2015-01,17041.0
303,2015-02,17041.0
304,2015-03,17041.0
305,2015-04,24030.333333333332
306,2015-05,24030.333333333332
307,2015-06,24030.333333333332
308,2015-07,26300.666666666668
309,2015-08,26300.666666666668
310,2015-09,26300.666666666668
311,2015-10,23247.0
312,2015-11,23247.0
313,2015-12,23247.0
314,2016-01,28749.0
315,2016-02,28749.0
316,2016-03,28749.0
317,2016-04,29434.0
318,2016-05,29434.0
319,2016-06,29434.0
320,2016-07,22747.333333333332
321,2016-08,22747.333333333332
322,2016-09,22747.333333333332
323,2016-10,17871.333333333332
324,2016-11,17871.333333333332
325,2016-12,17871.333333333332
326,2017-01,24279.666666666668
327,2017-02,24279.666666666668
328,2017-03,24279.666666666668
329,2017-04,26004.0
330,2017-05,26004.0
331,2017-06,26004.0
332,2017-07,23369.666666666668
333,2017-08,23369.666666666668
334,2017-09,23369.666666666668
335,2017-10,21843.333333333332
336,2017-11,21843.333333333332
337,2017-12,21843.333333333332
338,2018-01,26669.0
339,2018-02,26669.0
340,2018-03,26669.0
341,2018-04,29226.333333333332
342,2018-05,29226.333333333332
343,2018-06,29226.333333333332
344,2018-07,27427.666666666668
345,2018-08,27427.666666666668
346,2018-09,27427.666666666668
347,2018-10,23693.333333333332
348,2018-11,23693.333333333332
349,2018-12,23693.333333333332
350,2019-01,21985.666666666668
351,2019-02,21985.666666666668
352,2019-03,21985.666666666668
353,2019-04,31427.0
354,2019-05,31427.0
355,2019-06,31427.0
356,2019-07,34573.0
357,2019-08,34573.0
358,2019-09,34573.0
359,2019-10,25745.0
360,2019-11,25745.0
361,2019-12,25745.0
362,2020-01,23044.333333333332
363,2020-02,23044.333333333332
364,2020-03,23044.333333333332
365,2020-04,11356.666666666666
366,2020-05,11356.666666666666
367,2020-06,11356.666666666666
368,2020-07,13372.0
369,2020-08,13372.0
370,2020-09,13372.0
371,2020-10,13755.666666666666
372,2020-11,13755.666666666666
373,2020-12,13755.666666666666
374,2021-01,23495.666666666668
375,2021-02,23495.666666666668
376,2021-03,23495.666666666668
377,2021-04,24812.666666666668
378,2021-05,24812.666666666668
379,2021-06,24812.666666666668
380,2021-07,40970.333333333336
381,2021-08,40970.333333333336
382,2021-09,40970.333333333336
383,2021-10,46063.333333333336
384,2021-11,46063.333333333336
385,2021-12,46063.333333333336
